e2_idxs,e1_label,probability,e2_label,sent_id,words,e1_idxs,doc_id,ext_id
[33],MATCHER,,MATCHER,131,"[""We"", ""observed"", ""CGA"", ""values"", ""of"", ""68"", ""("", ""39"", ""--"", ""206"", "")"", "","", ""92"", ""("", ""10"", ""--"", ""551"", "")"", "","", ""and"", ""174"", ""("", ""151"", ""--"", ""235"", "")"", ""ng/ml"", ""for"", ""patients"", ""in"", ""the"", ""CSPC"", "","", ""CRPC"", "","", ""and"", ""NE-CRPC"", ""cohorts"", "","", ""respectively"", "".""]",[2],AGR2_blood_biomarker,316
"[27, 28]",MATCHER,,MATCHER,4,"[""Blood"", ""was"", ""collected"", ""from"", ""44"", ""patients"", ""with"", ""metastatic"", ""prostate"", ""cancer"", ""separated"", ""as"", "":"", ""castration"", ""sensitive"", ""prostate"", ""cancer"", ""("", ""CSPC"", "","", ""n"", ""1/4"", ""5"", "")"", "";"", ""castration"", ""resistant"", ""prostate"", ""cancer"", ""("", ""CRPC"", "","", ""n"", ""1/4"", ""36"", "")"", "";"", ""and"", ""neuroendocrine-predominate"", ""CRPC"", ""defined"", ""by"", ""PSA"", ""1"", ""ng/ml"", ""in"", ""the"", ""presence"", ""of"", ""wide-spread"", ""metastatic"", ""disease"", ""("", ""NE-CRPC"", "","", ""n"", ""1/4"", ""3"", "")"", "".""]",[53],AGR2_blood_biomarker,51
[4],MATCHER,,MATCHER,145,"[""In"", ""10"", ""subjects"", ""("", ""CRPC"", ""n"", ""1/4"", ""7"", "","", ""CSPC"", ""n"", ""1/4"", ""2"", "","", ""NE-CRPC"", ""n"", ""1/4"", ""1"", "")"", "","", ""sequential"", ""samples"", ""were"", ""available"", ""representing"", ""baseline"", ""and"", ""serial"", ""measurements"", ""at"", ""weeks"", ""3"", ""--"", ""6"", ""and"", ""10"", ""--"", ""12"", ""in"", ""response"", ""to"", ""standard"", ""therapies"", ""("", ""Fig."", ""3"", "")"", "".""]",[4],AGR2_blood_biomarker,358
"[8, 9]",MATCHER,,MATCHER,163,"[""The"", ""Prostate"", ""AGR2"", ""is"", ""a"", ""Biomarker"", ""of"", ""Metastatic"", ""Prostate"", ""Cancer"", ""As"", ""NE-CRPC"", ""represents"", ""an"", ""uncommon"", ""clinical"", ""variant"", ""of"", ""metastatic"", ""prostate"", ""cancer"", "","", ""we"", ""used"", ""prostate"", ""cancer"", ""cell"", ""lines"", ""to"", ""further"", ""explore"", ""a"", ""possible"", ""association"", ""between"", ""AGR2"", ""and"", ""neuroendocrine"", ""marker"", ""expression"", ""in"", ""prostate"", ""cancer"", ""cells"", ""("", ""Fig."", ""4"", "")"", "".""]",[35],AGR2_blood_biomarker,130
[4],MATCHER,,MATCHER,145,"[""In"", ""10"", ""subjects"", ""("", ""CRPC"", ""n"", ""1/4"", ""7"", "","", ""CSPC"", ""n"", ""1/4"", ""2"", "","", ""NE-CRPC"", ""n"", ""1/4"", ""1"", "")"", "","", ""sequential"", ""samples"", ""were"", ""available"", ""representing"", ""baseline"", ""and"", ""serial"", ""measurements"", ""at"", ""weeks"", ""3"", ""--"", ""6"", ""and"", ""10"", ""--"", ""12"", ""in"", ""response"", ""to"", ""standard"", ""therapies"", ""("", ""Fig."", ""3"", "")"", "".""]",[14],AGR2_blood_biomarker,362
"[7, 8]",MATCHER,,MATCHER,124,"[""Plasma"", ""AGR2"", ""Levels"", ""are"", ""Elevated"", ""in"", ""Metastatic"", ""Prostate"", ""Cancer"", ""Having"", ""demonstrated"", ""CTC-based"", ""expression"", ""of"", ""AGR2"", ""mRNA"", ""in"", ""CTCs"", "","", ""we"", ""next"", ""expanded"", ""our"", ""study"", ""to"", ""examine"", ""plasma"", ""AGR2"", ""levels"", ""in"", ""patients"", ""with"", ""metastatic"", ""prostate"", ""cancer"", "".""]",[15],AGR2_blood_biomarker,170
"[12, 13]",MATCHER,,MATCHER,25,"[""Abbreviations"", "":"", ""AGR2"", "","", ""anterior"", ""gradient"", ""2"", "";"", ""CSPC"", "","", ""castration"", ""sensitive"", ""prostate"", ""cancer"", "";"", ""CRPC"", "","", ""castration"", ""resistant"", ""prostate"", ""cancer"", "";"", ""NECRPC"", "","", ""neuroendocrine-predominate"", ""CRPC"", "";"", ""PSA"", "","", ""prostate"", ""specific"", ""antigen"", "";"", ""CGA"", "","", ""chromagranin"", ""A"", "";"", ""NSE"", "","", ""neuron-specific"", ""enolase"", "";"", ""CTC"", "","", ""circulating"", ""tumor"", ""cell"", "";"", ""ELISA"", "","", ""enzyme-linked"", ""immunoassay"", "".""]",[38],AGR2_blood_biomarker,264
[39],MATCHER,,MATCHER,137,"[""AGR2"", ""("", ""*"", "","", ""panel"", ""A"", "")"", ""and"", ""CGA"", ""("", ""~"", "","", ""panel"", ""B"", "")"", ""values"", ""were"", ""measured"", ""in"", ""plasma"", ""by"", ""ELISA"", ""for"", ""subjects"", ""representing"", ""control"", ""("", ""n"", ""1/4"", ""18"", "")"", "","", ""CSPC"", ""("", ""n"", ""1/4"", ""5"", "")"", "","", ""CRPC"", ""("", ""n"", ""1/4"", ""36"", "","", ""and"", ""NE-CRPC"", ""("", ""n"", ""1/4"", ""3"", "")"", ""sub-groups"", "".""]",[46],AGR2_blood_biomarker,308
"[55, 56]",MATCHER,,MATCHER,323,"[""Flechon"", ""A"", "","", ""Pouessel"", ""D"", "","", ""Ferlay"", ""C"", "","", ""Perol"", ""D"", "","", ""Beuzeboc"", ""P"", "","", ""Gravis"", ""G"", "","", ""Joly"", ""F"", "","", ""Oudard"", ""S"", "","", ""Deplanque"", ""G"", "","", ""Zanetta"", ""S"", "","", ""Fargeot"", ""P"", "","", ""Priou"", ""F"", "","", ""Droz"", ""JP"", "","", ""Culine"", ""S."", ""Phase"", ""II"", ""study"", ""of"", ""carboplatin"", ""and"", ""etoposide"", ""in"", ""patients"", ""with"", ""anaplastic"", ""progressive"", ""metastatic"", ""castration-resistant"", ""prostate"", ""cancer"", ""("", ""mCRPC"", "")"", ""with"", ""or"", ""without"", ""neuroendocrine"", ""differentiation"", "":"", ""Results"", ""of"", ""the"", ""French"", ""GenitoUrinary"", ""Tumor"", ""Group"", ""("", ""GETUG"", "")"", ""P01"", ""trial"", "".""]",[58],AGR2_blood_biomarker,10
[15],MATCHER,,MATCHER,25,"[""Abbreviations"", "":"", ""AGR2"", "","", ""anterior"", ""gradient"", ""2"", "";"", ""CSPC"", "","", ""castration"", ""sensitive"", ""prostate"", ""cancer"", "";"", ""CRPC"", "","", ""castration"", ""resistant"", ""prostate"", ""cancer"", "";"", ""NECRPC"", "","", ""neuroendocrine-predominate"", ""CRPC"", "";"", ""PSA"", "","", ""prostate"", ""specific"", ""antigen"", "";"", ""CGA"", "","", ""chromagranin"", ""A"", "";"", ""NSE"", "","", ""neuron-specific"", ""enolase"", "";"", ""CTC"", "","", ""circulating"", ""tumor"", ""cell"", "";"", ""ELISA"", "","", ""enzyme-linked"", ""immunoassay"", "".""]",[27],AGR2_blood_biomarker,253
