e2_idxs,e1_label,probability,e2_label,sent_id,words,e1_idxs,doc_id,ext_id
[13],MATCHER,0.5,MATCHER,113,"[""Specifically"", ""49"", ""samples"", ""were"", ""identified"", ""with"", ""1"", ""CTC/7"", "".5"", ""ml"", ""from"", ""patients"", ""with"", ""CRPC"", ""("", ""n"", ""1/4"", ""30"", "")"", "","", ""CSPC"", ""("", ""n"", ""1/4"", ""2"", "")"", "","", ""or"", ""NE-CRPC"", ""("", ""n"", ""1/4"", ""2"", "")"", "".""]",[20],AGR2_blood_biomarker,115
[39],MATCHER,0.5,MATCHER,137,"[""AGR2"", ""("", ""*"", "","", ""panel"", ""A"", "")"", ""and"", ""CGA"", ""("", ""~"", "","", ""panel"", ""B"", "")"", ""values"", ""were"", ""measured"", ""in"", ""plasma"", ""by"", ""ELISA"", ""for"", ""subjects"", ""representing"", ""control"", ""("", ""n"", ""1/4"", ""18"", "")"", "","", ""CSPC"", ""("", ""n"", ""1/4"", ""5"", "")"", "","", ""CRPC"", ""("", ""n"", ""1/4"", ""36"", "","", ""and"", ""NE-CRPC"", ""("", ""n"", ""1/4"", ""3"", "")"", ""sub-groups"", "".""]",[8],AGR2_blood_biomarker,300
"[19, 20]",MATCHER,0.5,MATCHER,114,"[""AGR2"", ""mRNA"", ""levels"", "","", ""expressed"", ""as"", ""average"", ""CT"", ""SD"", "","", ""were"", ""significantly"", ""elevated"", ""in"", ""samples"", ""from"", ""patients"", ""with"", ""metastatic"", ""prostate"", ""cancer"", ""("", ""CT"", ""1/4"", ""33.5"", ""5.4"", "")"", ""versus"", ""26"", ""samples"", ""representing"", ""normal"", ""controls"", ""("", ""CT"", ""1/4"", ""37.6"", ""3.7"", "")"", ""("", ""P"", ""<"", ""0.001"", ""by"", ""Student"", ""'s"", ""t-test"", "")"", "".""]",[34],AGR2_blood_biomarker,62
[29],MATCHER,0.5,MATCHER,117,"[""A"", ""strong"", ""positive"", ""TABLE"", ""I."", ""Summaryof"", ""Basic"", ""Demographic"", ""Datain"", ""Patients"", ""with"", ""Metastatic"", ""Prostate"", ""Cancer"", ""CSPC"", ""("", ""n"", ""1/4"", ""5"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""CRPC"", ""("", ""n"", ""1/4"", ""36"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""NE-CRPC"", ""("", ""n"", ""1/4"", ""3"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""The"", ""Prostate"", ""Average"", ""("", ""SD"", "")"", ""Median"", ""Range"", ""57.2"", ""("", ""6.4"", "")"", ""1978"", ""("", ""3235"", "")"", ""58.1"", ""428.6"", ""("", ""51.1"", ""--"", ""66.6"", "")"", ""("", ""2.4"", ""--"", ""7607"", "")"", ""69.8"", ""("", ""7.6"", "")"", ""436"", ""("", ""599"", "")"", ""49.9"", ""("", ""38.3"", "")"", ""69.4"", ""150.0"", ""37.2"", ""("", ""57.5"", ""87.7"", "")"", ""("", ""3.6"", ""--"", ""2403"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""72.7"", ""("", ""5.8"", "")"", ""0.4"", ""("", ""0.3"", "")"", ""43.6"", ""("", ""41.8"", "")"", ""70.7"", ""0.4"", ""33.5"", ""("", ""68.1"", ""--"", ""79.2"", "")"", ""("", ""<"", ""0.1"", ""--"", ""0.7"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""AGR2"", ""is"", ""a"", ""Biomarker"", ""of"", ""Metastatic"", ""Prostate"", ""Cancer"", ""Fig."", ""1"", "".""]",[25],AGR2_blood_biomarker,74
"[8, 9]",MATCHER,0.5,MATCHER,4,"[""Blood"", ""was"", ""collected"", ""from"", ""44"", ""patients"", ""with"", ""metastatic"", ""prostate"", ""cancer"", ""separated"", ""as"", "":"", ""castration"", ""sensitive"", ""prostate"", ""cancer"", ""("", ""CSPC"", "","", ""n"", ""1/4"", ""5"", "")"", "";"", ""castration"", ""resistant"", ""prostate"", ""cancer"", ""("", ""CRPC"", "","", ""n"", ""1/4"", ""36"", "")"", "";"", ""and"", ""neuroendocrine-predominate"", ""CRPC"", ""defined"", ""by"", ""PSA"", ""1"", ""ng/ml"", ""in"", ""the"", ""presence"", ""of"", ""wide-spread"", ""metastatic"", ""disease"", ""("", ""NE-CRPC"", "","", ""n"", ""1/4"", ""3"", "")"", "".""]",[39],AGR2_blood_biomarker,33
"[55, 56]",MATCHER,0.5,MATCHER,323,"[""Flechon"", ""A"", "","", ""Pouessel"", ""D"", "","", ""Ferlay"", ""C"", "","", ""Perol"", ""D"", "","", ""Beuzeboc"", ""P"", "","", ""Gravis"", ""G"", "","", ""Joly"", ""F"", "","", ""Oudard"", ""S"", "","", ""Deplanque"", ""G"", "","", ""Zanetta"", ""S"", "","", ""Fargeot"", ""P"", "","", ""Priou"", ""F"", "","", ""Droz"", ""JP"", "","", ""Culine"", ""S."", ""Phase"", ""II"", ""study"", ""of"", ""carboplatin"", ""and"", ""etoposide"", ""in"", ""patients"", ""with"", ""anaplastic"", ""progressive"", ""metastatic"", ""castration-resistant"", ""prostate"", ""cancer"", ""("", ""mCRPC"", "")"", ""with"", ""or"", ""without"", ""neuroendocrine"", ""differentiation"", "":"", ""Results"", ""of"", ""the"", ""French"", ""GenitoUrinary"", ""Tumor"", ""Group"", ""("", ""GETUG"", "")"", ""P01"", ""trial"", "".""]",[58],AGR2_blood_biomarker,10
[4],MATCHER,0.5,MATCHER,108,"[""AGR2"", ""mRNA"", ""is"", ""Expressedin"", ""CRPC"", ""Since"", ""AGR2"", ""has"", ""been"", ""found"", ""to"", ""promote"", ""metastatic"", ""progression"", ""in"", ""prostate"", ""and"", ""other"", ""cancer"", ""models"", "","", ""we"", ""sought"", ""to"", ""determine"", ""if"", ""AGR2"", ""was"", ""expressed"", ""in"", ""tissue"", ""from"", ""patients"", ""with"", ""metastatic"", ""prostate"", ""cancer"", "".""]",[4],AGR2_blood_biomarker,404
[13],MATCHER,0.5,MATCHER,123,"[""We"", ""conclude"", ""that"", ""AGR2"", ""mRNA"", ""is"", ""expressed"", ""in"", ""CTCs"", ""from"", ""patients"", ""with"", ""metastatic"", ""CRPC"", "".""]",[3],AGR2_blood_biomarker,180
"[20, 21]",MATCHER,0.5,MATCHER,29,"[""circulating"", ""androgens"", ""signals"", ""progression"", ""to"", ""castration"", ""resistant"", ""prostate"", ""cancer"", ""("", ""CRPC"", "")"", ""which"", ""is"", ""associated"", ""with"", ""the"", ""majority"", ""of"", ""the"", ""prostate"", ""cancer"", ""related"", ""morbidity"", ""and"", ""mortality"", "".""]",[10],AGR2_blood_biomarker,211
"[21, 22]",MATCHER,0.5,MATCHER,13,"[""A"", ""correlation"", ""between"", ""AGR2"", "","", ""chromagranin"", ""A"", ""("", ""CGA"", "")"", "","", ""and"", ""neuron-specific"", ""enolase"", ""("", ""NSE"", "")"", ""expression"", ""is"", ""demonstrated"", ""in"", ""prostate"", ""cancer"", ""cell"", ""lines"", "".""]",[8],AGR2_blood_biomarker,375
