e2_idxs,e1_label,probability,e2_label,sent_id,words,e1_idxs,doc_id,ext_id
"[17, 18, 19, 20]",MATCHER,,MATCHER,25,"[""Abbreviations"", "":"", ""AGR2"", "","", ""anterior"", ""gradient"", ""2"", "";"", ""CSPC"", "","", ""castration"", ""sensitive"", ""prostate"", ""cancer"", "";"", ""CRPC"", "","", ""castration"", ""resistant"", ""prostate"", ""cancer"", "";"", ""NECRPC"", "","", ""neuroendocrine-predominate"", ""CRPC"", "";"", ""PSA"", "","", ""prostate"", ""specific"", ""antigen"", "";"", ""CGA"", "","", ""chromagranin"", ""A"", "";"", ""NSE"", "","", ""neuron-specific"", ""enolase"", "";"", ""CTC"", "","", ""circulating"", ""tumor"", ""cell"", "";"", ""ELISA"", "","", ""enzyme-linked"", ""immunoassay"", "".""]",[22],AGR2_blood_biomarker,235
"[10, 11]",MATCHER,,MATCHER,98,"[""Features"", ""associated"", ""with"", ""neuroendocrineCRPC"", ""("", ""NE-CRPC"", "")"", "","", ""or"", ""anaplastic"", ""prostate"", ""cancer"", "","", ""include"", ""as"", ""a"", ""usual"", ""pattern"", ""of"", ""early"", "","", ""visceral"", ""metastatic"", ""spread"", ""as"", ""well"", ""as"", ""relatively"", ""low"", ""levels"", ""of"", ""serum"", ""PSA"", ""["", ""28"", ""]"", "".""]",[5],AGR2_blood_biomarker,140
[29],MATCHER,,MATCHER,117,"[""A"", ""strong"", ""positive"", ""TABLE"", ""I."", ""Summaryof"", ""Basic"", ""Demographic"", ""Datain"", ""Patients"", ""with"", ""Metastatic"", ""Prostate"", ""Cancer"", ""CSPC"", ""("", ""n"", ""1/4"", ""5"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""CRPC"", ""("", ""n"", ""1/4"", ""36"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""NE-CRPC"", ""("", ""n"", ""1/4"", ""3"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""The"", ""Prostate"", ""Average"", ""("", ""SD"", "")"", ""Median"", ""Range"", ""57.2"", ""("", ""6.4"", "")"", ""1978"", ""("", ""3235"", "")"", ""58.1"", ""428.6"", ""("", ""51.1"", ""--"", ""66.6"", "")"", ""("", ""2.4"", ""--"", ""7607"", "")"", ""69.8"", ""("", ""7.6"", "")"", ""436"", ""("", ""599"", "")"", ""49.9"", ""("", ""38.3"", "")"", ""69.4"", ""150.0"", ""37.2"", ""("", ""57.5"", ""87.7"", "")"", ""("", ""3.6"", ""--"", ""2403"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""72.7"", ""("", ""5.8"", "")"", ""0.4"", ""("", ""0.3"", "")"", ""43.6"", ""("", ""41.8"", "")"", ""70.7"", ""0.4"", ""33.5"", ""("", ""68.1"", ""--"", ""79.2"", "")"", ""("", ""<"", ""0.1"", ""--"", ""0.7"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""AGR2"", ""is"", ""a"", ""Biomarker"", ""of"", ""Metastatic"", ""Prostate"", ""Cancer"", ""Fig."", ""1"", "".""]",[14],AGR2_blood_biomarker,70
[29],MATCHER,,MATCHER,117,"[""A"", ""strong"", ""positive"", ""TABLE"", ""I."", ""Summaryof"", ""Basic"", ""Demographic"", ""Datain"", ""Patients"", ""with"", ""Metastatic"", ""Prostate"", ""Cancer"", ""CSPC"", ""("", ""n"", ""1/4"", ""5"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""CRPC"", ""("", ""n"", ""1/4"", ""36"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""NE-CRPC"", ""("", ""n"", ""1/4"", ""3"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""The"", ""Prostate"", ""Average"", ""("", ""SD"", "")"", ""Median"", ""Range"", ""57.2"", ""("", ""6.4"", "")"", ""1978"", ""("", ""3235"", "")"", ""58.1"", ""428.6"", ""("", ""51.1"", ""--"", ""66.6"", "")"", ""("", ""2.4"", ""--"", ""7607"", "")"", ""69.8"", ""("", ""7.6"", "")"", ""436"", ""("", ""599"", "")"", ""49.9"", ""("", ""38.3"", "")"", ""69.4"", ""150.0"", ""37.2"", ""("", ""57.5"", ""87.7"", "")"", ""("", ""3.6"", ""--"", ""2403"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""72.7"", ""("", ""5.8"", "")"", ""0.4"", ""("", ""0.3"", "")"", ""43.6"", ""("", ""41.8"", "")"", ""70.7"", ""0.4"", ""33.5"", ""("", ""68.1"", ""--"", ""79.2"", "")"", ""("", ""<"", ""0.1"", ""--"", ""0.7"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""AGR2"", ""is"", ""a"", ""Biomarker"", ""of"", ""Metastatic"", ""Prostate"", ""Cancer"", ""Fig."", ""1"", "".""]",[60],AGR2_blood_biomarker,94
[8],MATCHER,,MATCHER,25,"[""Abbreviations"", "":"", ""AGR2"", "","", ""anterior"", ""gradient"", ""2"", "";"", ""CSPC"", "","", ""castration"", ""sensitive"", ""prostate"", ""cancer"", "";"", ""CRPC"", "","", ""castration"", ""resistant"", ""prostate"", ""cancer"", "";"", ""NECRPC"", "","", ""neuroendocrine-predominate"", ""CRPC"", "";"", ""PSA"", "","", ""prostate"", ""specific"", ""antigen"", "";"", ""CGA"", "","", ""chromagranin"", ""A"", "";"", ""NSE"", "","", ""neuron-specific"", ""enolase"", "";"", ""CTC"", "","", ""circulating"", ""tumor"", ""cell"", "";"", ""ELISA"", "","", ""enzyme-linked"", ""immunoassay"", "".""]",[33],AGR2_blood_biomarker,259
[14],MATCHER,,MATCHER,117,"[""A"", ""strong"", ""positive"", ""TABLE"", ""I."", ""Summaryof"", ""Basic"", ""Demographic"", ""Datain"", ""Patients"", ""with"", ""Metastatic"", ""Prostate"", ""Cancer"", ""CSPC"", ""("", ""n"", ""1/4"", ""5"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""CRPC"", ""("", ""n"", ""1/4"", ""36"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""NE-CRPC"", ""("", ""n"", ""1/4"", ""3"", "")"", ""Age"", ""("", ""years"", "")"", ""Serum"", ""PSA"", ""("", ""ng/dl"", "")"", ""Duration"", ""ADT"", ""("", ""months"", "")"", ""The"", ""Prostate"", ""Average"", ""("", ""SD"", "")"", ""Median"", ""Range"", ""57.2"", ""("", ""6.4"", "")"", ""1978"", ""("", ""3235"", "")"", ""58.1"", ""428.6"", ""("", ""51.1"", ""--"", ""66.6"", "")"", ""("", ""2.4"", ""--"", ""7607"", "")"", ""69.8"", ""("", ""7.6"", "")"", ""436"", ""("", ""599"", "")"", ""49.9"", ""("", ""38.3"", "")"", ""69.4"", ""150.0"", ""37.2"", ""("", ""57.5"", ""87.7"", "")"", ""("", ""3.6"", ""--"", ""2403"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""72.7"", ""("", ""5.8"", "")"", ""0.4"", ""("", ""0.3"", "")"", ""43.6"", ""("", ""41.8"", "")"", ""70.7"", ""0.4"", ""33.5"", ""("", ""68.1"", ""--"", ""79.2"", "")"", ""("", ""<"", ""0.1"", ""--"", ""0.7"", "")"", ""("", ""5.2"", ""--"", ""174.2"", "")"", ""AGR2"", ""is"", ""a"", ""Biomarker"", ""of"", ""Metastatic"", ""Prostate"", ""Cancer"", ""Fig."", ""1"", "".""]",[25],AGR2_blood_biomarker,73
[15],MATCHER,,MATCHER,25,"[""Abbreviations"", "":"", ""AGR2"", "","", ""anterior"", ""gradient"", ""2"", "";"", ""CSPC"", "","", ""castration"", ""sensitive"", ""prostate"", ""cancer"", "";"", ""CRPC"", "","", ""castration"", ""resistant"", ""prostate"", ""cancer"", "";"", ""NECRPC"", "","", ""neuroendocrine-predominate"", ""CRPC"", "";"", ""PSA"", "","", ""prostate"", ""specific"", ""antigen"", "";"", ""CGA"", "","", ""chromagranin"", ""A"", "";"", ""NSE"", "","", ""neuron-specific"", ""enolase"", "";"", ""CTC"", "","", ""circulating"", ""tumor"", ""cell"", "";"", ""ELISA"", "","", ""enzyme-linked"", ""immunoassay"", "".""]",[49],AGR2_blood_biomarker,281
"[19, 20]",MATCHER,,MATCHER,25,"[""Abbreviations"", "":"", ""AGR2"", "","", ""anterior"", ""gradient"", ""2"", "";"", ""CSPC"", "","", ""castration"", ""sensitive"", ""prostate"", ""cancer"", "";"", ""CRPC"", "","", ""castration"", ""resistant"", ""prostate"", ""cancer"", "";"", ""NECRPC"", "","", ""neuroendocrine-predominate"", ""CRPC"", "";"", ""PSA"", "","", ""prostate"", ""specific"", ""antigen"", "";"", ""CGA"", "","", ""chromagranin"", ""A"", "";"", ""NSE"", "","", ""neuron-specific"", ""enolase"", "";"", ""CTC"", "","", ""circulating"", ""tumor"", ""cell"", "";"", ""ELISA"", "","", ""enzyme-linked"", ""immunoassay"", "".""]",[15],AGR2_blood_biomarker,230
"[8, 9]",MATCHER,,MATCHER,34,"[""AGR2"", ""is"", ""known"", ""to"", ""be"", ""expressed"", ""in"", ""primary"", ""prostate"", ""cancer"", ""tissues"", "","", ""and"", ""AGR2"", ""levels"", ""have"", ""been"", ""explored"", ""as"", ""a"", ""potential"", ""urine-based"", ""diagnostic"", ""marker"", ""for"", ""prostate"", ""cancer"", ""["", ""2,10"", ""]"", "".""]",[13],AGR2_blood_biomarker,151
[17],MATCHER,,MATCHER,100,"[""Therefore"", "","", ""we"", ""divide"", ""our"", ""cohort"", ""of"", ""metastatic"", ""prostate"", ""cancer"", ""patients"", ""into"", ""three"", ""groups"", ""as"", ""CSPC"", "","", ""CRPC"", "","", ""and"", ""NE-CRPC"", "".""]",[17],AGR2_blood_biomarker,390
