e2_idxs	e1_label	e2_label	sent_id	e1_idxs	doc_id	is_correct
[15, 16]	MarkerName	Diseases	46	[3]	AGR2_blood_biomarker.txt	true
[29]	MarkerName	Abb	117	[40]	AGR2_blood_biomarker.txt	false
[8, 9]	MarkerName	Diseases	183	[21]	AGR2_blood_biomarker.txt	true
[1]	MarkerName	Abb	257	[7]	AGR2_blood_biomarker.txt	false
[29]	MarkerName	Abb	117	[25]	AGR2_blood_biomarker.txt	false
[8, 9]	MarkerName	Diseases	163	[2]	AGR2_blood_biomarker.txt	true
[13]	MarkerName	Abb	201	[42]	AGR2_blood_biomarker.txt	true
[13, 14]	MarkerName	Diseases	195	[72]	AGR2_blood_biomarker.txt	false
[13, 14]	MarkerName	Diseases	195	[120]	AGR2_blood_biomarker.txt	false
[8, 9]	MarkerName	Diseases	219	[0]	AGR2_blood_biomarker.txt	true
[22, 23]	MarkerName	Diseases	180	[19]	AGR2_blood_biomarker.txt	UNKNOWN
[13, 14]	MarkerName	Diseases	195	[64]	AGR2_blood_biomarker.txt	false
[33]	MarkerName	Abb	131	[2]	AGR2_blood_biomarker.txt	true
[13, 14]	MarkerName	Diseases	172	[8]	AGR2_blood_biomarker.txt	true
[8, 9]	MarkerName	Diseases	309	[1]	AGR2_blood_biomarker.txt	false
[32]	MarkerName	Abb	137	[8]	AGR2_blood_biomarker.txt	false
[16, 17]	MarkerName	Diseases	150	[6]	AGR2_blood_biomarker.txt	false
[163, 164]	MarkerName	Diseases	117	[40]	AGR2_blood_biomarker.txt	false
[163, 164]	MarkerName	Diseases	117	[73]	AGR2_blood_biomarker.txt	false
[6, 7]	MarkerName	Diseases	19	[3]	AGR2_blood_biomarker.txt	false
[31, 32]	MarkerName	Diseases	178	[4]	AGR2_blood_biomarker.txt	true
[14]	MarkerName	Abb	117	[73]	AGR2_blood_biomarker.txt	false
[23, 24]	MarkerName	Diseases	248	[5]	AGR2_blood_biomarker.txt	true
[10, 11]	MarkerName	Diseases	136	[1]	AGR2_blood_biomarker.txt	false
[19]	MarkerName	Abb	144	[5]	AGR2_blood_biomarker.txt	true
[4, 5]	MarkerName	Diseases	164	[0]	AGR2_blood_biomarker.txt	false
[33]	MarkerName	Abb	129	[4]	AGR2_blood_biomarker.txt	true
[32]	MarkerName	Abb	137	[0]	AGR2_blood_biomarker.txt	false
[15]	MarkerName	Abb	25	[2]	AGR2_blood_biomarker.txt	false
[15]	MarkerName	Abb	25	[33]	AGR2_blood_biomarker.txt	false
[7, 8]	MarkerName	Diseases	124	[14]	AGR2_blood_biomarker.txt	false
[15, 16]	MarkerName	Diseases	83	[12]	AGR2_blood_biomarker.txt	false
[45, 46]	MarkerName	Diseases	125	[30]	AGR2_blood_biomarker.txt	true
[14]	MarkerName	Abb	117	[40]	AGR2_blood_biomarker.txt	false
[42, 43]	MarkerName	Diseases	163	[2]	AGR2_blood_biomarker.txt	false
[8, 9]	MarkerName	Diseases	163	[36]	AGR2_blood_biomarker.txt	false
[19, 20]	MarkerName	Diseases	114	[8]	AGR2_blood_biomarker.txt	false
[11, 12]	MarkerName	Diseases	248	[5]	AGR2_blood_biomarker.txt	true
[33, 34]	MarkerName	Diseases	124	[27]	AGR2_blood_biomarker.txt	false
[4]	MarkerName	Abb	108	[6]	AGR2_blood_biomarker.txt	UNKNOWN
[13, 14]	MarkerName	Diseases	195	[92]	AGR2_blood_biomarker.txt	false
[13, 14]	MarkerName	Diseases	195	[157]	AGR2_blood_biomarker.txt	false
[28, 29]	MarkerName	Diseases	211	[13]	AGR2_blood_biomarker.txt	false
[45, 46]	MarkerName	Diseases	125	[1]	AGR2_blood_biomarker.txt	true
[42, 43]	MarkerName	Diseases	187	[28]	AGR2_blood_biomarker.txt	true
[23, 24]	MarkerName	Diseases	187	[28]	AGR2_blood_biomarker.txt	false
[35, 36]	MarkerName	Diseases	108	[26]	AGR2_blood_biomarker.txt	true
[19]	MarkerName	Abb	343	[22]	AGR2_blood_biomarker.txt	false
[18, 19]	MarkerName	Diseases	196	[12]	AGR2_blood_biomarker.txt	false
[10, 11]	MarkerName	Diseases	91	[7]	AGR2_blood_biomarker.txt	false
[42, 43]	MarkerName	Diseases	187	[7]	AGR2_blood_biomarker.txt	\N
[12, 13]	MarkerName	Diseases	117	[60]	AGR2_blood_biomarker.txt	\N
[25]	MarkerName	Abb	25	[27]	AGR2_blood_biomarker.txt	\N
[19, 20]	MarkerName	Diseases	114	[22]	AGR2_blood_biomarker.txt	\N
[29]	MarkerName	Abb	117	[60]	AGR2_blood_biomarker.txt	\N
[16]	MarkerName	Abb	354	[16]	AGR2_blood_biomarker.txt	\N
[30]	MarkerName	Abb	4	[42]	AGR2_blood_biomarker.txt	\N
[13]	MarkerName	Abb	201	[8]	AGR2_blood_biomarker.txt	\N
[13, 14]	MarkerName	Diseases	195	[35]	AGR2_blood_biomarker.txt	\N
[23, 24]	MarkerName	Diseases	187	[7]	AGR2_blood_biomarker.txt	\N
[7, 8]	MarkerName	Diseases	124	[27]	AGR2_blood_biomarker.txt	\N
